URL,VISITED,N/A,PROOF,CONTESTED,REJECTED,NOTES ON WHY N/A,NOTES ON WHY PROOF,ADDITIONAL NOTES,"TRANSLATION OF ""NOTES ON WHY N/A"" (COL G)","TRANSLATION OF ""NOTES ON WHY PROOF"" (COL K)","TRANSLATION OF ""ADDITIONAL NOTES"" (COL I)"
https://entscheidsuche.ch/docs/TI_Gerichte/TI_CARP_001_17-2017-175_2017-10-26.html,YES,NO,YES,NO,,,The accuser claims that an intimate video was saved by the accused on their phone. The court rejects the appeal and states that it was the accuser who recorded the video and voluntarily shared it with the accused. No crime.,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-1014-2020_2022-01-19.html,YES,NO,YES,NO,,,"In casu, les propos mis en avant par le recourant doivent être replacés dans le contexte général de la conversation Whatsapp de laquelle ils ont été tirés.",,,"In the event, the comments put forward by the appellant must be placed in the general context of the Whatsapp conversation from which they were taken.",
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2023-102_2023-09-18.pdf,YES,YES,,,,"Message sent on WA and then posted identically on a public Facebook page. Complaint filed only for the Facebook message, not for the one on WA.",,,,,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2022-110_2022-11-23.pdf,YES,YES,,,,"Denuncia penale tardiva (termine: 3 mesi) rispetto all'ultimo messaggio WA inviato. Perciò, contenuto e numeri di messaggi WA non considerati nella procedura.  La Chambre se doit de constater que la plainte pénale déposée le 10 décembre 2021 l’a été tardivement pour la grande quantité d’échanges WhatsApp qui ont eu lieu entre le 16 juillet 2021 et le 19 août 2021, date à laquelle la recourante a bloqué le téléphone portable de B. Seuls les courriels joints au recours peuvent être analysés à la lumière de l’art. 179septies CP. ",,,"Late criminal reporting (deadline: 3 months) compared to the last WA message sent. Therefore, contents and numbers of WA messages not considered in the procedure.  The Chamber should note that the criminal complaint was filed on 10 December 2021 which is late for the large quantity of WhatsApp changes here ont eu lieu between 16 July 2021 and 19 August 2021, given here the blocked notification the portable telephone of B. Seuls the courriels joints au recours can be analyzed in the light of the art. 179septies CP. ",,
https://entscheidsuche.ch/docs/GR_Gerichte/GR_KG_005_SK2-2023-41_2023-08-24.pdf,YES,YES,,,,"Decisione su pagamento onorario avvocato. Chat WA determinante per provare innocenza, ma non rilevante nella decisione letta.",,,"Decision on payment of lawyer fees. Chat WA crucial to proving innocence, but not relevant in the decision read.",,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-15331-2022_2023-08-14.html,YES,YES,,,,"Denuncia per truffa. Presunti autori in Sud Africa/Seychelles. Indagine non ha permesso di trovare autori che hanno truffato, anche tramite messaggi WA. Rifiuto rogatoria internazionale.",,,"Report for fraud. Alleged perpetrators in South Africa/Seychelles. Investigation did not allow us to find authors who defrauded, even via WA messages. Refusal of international letter rogatory.",,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2020-23_2020-06-02.pdf,YES,NO,YES,NO,,,"Les nombreux échanges whatsapp témoignent du contact maintenu entre les deux parties, en particulier après l’événement de mars 2017. La plaignante avait en outre dit qu’elle avait arrêté les séances de physiothérapie après mars 2017 alors que le dossier révèle le contraire. Selon le Ministère public, elle aurait pourtant pu facilement changer de thérapeute dès lors que le prévenu n’était plus employé du cabinet depuis le 1er mars 2017. Malgré cela, elle avait continué à faire appel à ses services.",,,"The numerous WhatsApp exchanges testify to the contact maintained between the two parties, in particular after the event of March 2017. The complainant had also said that she had stopped the physiotherapy sessions after March 2017 while the file reveals the opposite. According to the Public Prosecutor's Office, she could have easily changed therapists since the defendant had no longer been an employee of the practice since March 1, 2017. Despite this, she continued to use his services.",
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2020-37_2020-05-06.pdf,YES,YES,,,,Case dismissed + whatsapp messages mentioned but not shown nor used as proof,,,,,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2022-24_2022-09-22.pdf,YES,YES,,,,"Case dismissed + ""S’agissant du message WhatsApp, l’instruction a permis d’en déterminer l’auteur. Une procédure séparée est conduite sous référence F 21 2752""",,,"Case dismissed + ""Regarding the WhatsApp message, the investigation made it possible to determine the author. A separate procedure is being conducted under reference F 21 2752""",,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-25515-2023_2023-12-20.html,YES,NO,YES,NO,,,"Dans la décision querellée, le Procureur considère que le téléphone portable pouvait contenir des conversations avec des « clientes » dont le contenu serait utile à son enquête.",,,"In the disputed decision, the Prosecutor considers that the cell phone could contain conversations with “clients” whose content would be useful to his investigation.",
